carat,cut,color,clarity,depth,table,price,measurements
1.01,Excellent,D,SI1,62.2,58.0,"$5,022",6.39x6.44x3.99 mm
1.01,Excellent,D,SI1,62.8,57.0,"$5,443",6.36x6.4x4.01 mm
1.10,Excellent,F,VS1,62.1,59.0,"$6,372",6.56x6.58x4.08 mm
1.01,Excellent,E,SI1,59.9,60.0,"$4,990",6.49x6.53x3.9 mm
1.01,Excellent,E,VS1,62.7,57.0,"$6,113",6.36x6.39x4 mm
1.03,Excellent,E,SI1,61.3,59.0,"$5,087",6.49x6.52x3.99 mm
1.13,Excellent,D,SI2,60.3,59.0,"$4,774",6.73x6.78x4.07 mm
1.01,Excellent,G,SI1,62.9,57.0,"$4,072",6.36x6.4x4.02 mm
1.00,Excellent,G,SI1,62.8,57.0,"$4,093",6.34x6.38x3.99 mm
1.06,Excellent,H,VVS2,62.8,56.0,"$5,130",6.46x6.5x4.07 mm
1.00,Excellent,G,VVS2,62.8,59.0,"$6,307",6.33x6.37x3.99 mm
1.09,Excellent,H,VS2,62.4,56.0,"$4,730",6.53x6.57x4.09 mm
0.60,Excellent,D,VVS1,61.7,55.0,"$4,050",5.41x5.44x3.35 mm
1.00,Excellent,F,SI1,58.0,62.0,"$4,828",6.57x6.6x3.82 mm
1.20,Excellent,H,SI2,62.6,59.0,"$4,160",6.73x6.78x4.23 mm
1.36,Excellent,G,VS2,62.3,59.0,"$7,754",7.02x7.07x4.39 mm
2.03,Very Good,K,SI1,64.2,62.0,"$7,510",7.89x7.97x5.09 mm
1.02,Excellent,F,VS1,62.1,58.0,"$6,253",6.44x6.46x4.01 mm
0.90,Excellent,F,IF,62.6,56.0,"$6,730",6.11x6.16x3.84 mm
0.90,Excellent,F,VVS2,63.5,57.0,"$5,040",6.09x6.14x3.88 mm
1.10,Excellent,H,VS1,62.5,57.0,"$5,620",6.57x6.59x4.11 mm
1.06,Excellent,G,VS1,62.3,57.0,"$6,430",6.47x6.51x4.04 mm
1.20,Excellent,F,SI1,63.2,55.0,"$4,331",6.71x6.75x4.25 mm
1.90,Excellent,F,SI2,62.7,57.0,"$10,040",7.83x7.89x4.93 mm
1.20,Excellent,H,VVS2,61.3,60.0,"$5,620",6.79x6.85x4.18 mm
1.70,Excellent,K,VVS2,60.6,59.0,"$5,330",7.64x7.7x4.65 mm
1.20,Excellent,I,VS2,62.8,55.0,"$4,420",6.73x6.78x4.25 mm
1.01,Excellent,I,VVS1,61.8,55.0,"$4,240",6.41x6.45x3.98 mm
0.90,Excellent,D,VVS1,61.5,58.0,"$7,070",6.2x6.24x3.82 mm
1.00,Excellent,H,VVS1,62.3,57.0,"$4,540",6.34x6.38x3.96 mm
1.00,Excellent,F,VS1,62.7,58.0,"$5,870",6.29x6.35x3.96 mm
1.00,Excellent,D,SI1,62.9,55.0,"$4,330",6.35x6.41x4.02 mm
1.00,Excellent,H,VVS1,62.6,56.0,"$4,440",6.32x6.36x3.97 mm
1.50,Excellent,E,SI1,61.3,62.0,"$9,480",7.24x7.31x4.46 mm
1.50,Very Good,H,VVS1,64.7,57.0,"$9,980",7.06x7.12x4.59 mm
1.50,Very Good,K,SI1,64.9,58.0,"$4,060",7.04x7.11x4.59 mm
1.50,Good,K,VS1,64.9,61.0,"$4,300",6.94x7.03x4.53 mm
1.04,Excellent,F,SI1,61.7,58.0,"$5,860",6.47x6.51x4 mm
1.50,Very Good,J,VS2,64.4,57.0,"$4,350",7.08x7.13x4.57 mm
1.50,Very Good,K,VVS1,63.1,59.0,"$4,590",7.16x7.25x4.55 mm
1.50,Very Good,I,SI1,63.9,59.0,"$5,410",7.08x7.17x4.56 mm
1.50,Very Good,K,VVS1,64.7,56.0,"$4,590",7.08x7.15x4.6 mm
1.50,Very Good,I,SI2,64.2,59.0,"$4,560",7.07x7.16x4.56 mm
1.00,Very Good,F,VS1,63.9,57.0,"$4,150",6.19x6.27x3.98 mm
1.00,Very Good,F,VVS1,64.3,58.0,"$5,270",6.16x6.23x3.99 mm
2.02,Very Good,J,SI2,64.3,57.0,"$7,160",7.85x7.91x5.07 mm
1.00,Very Good,D,VVS2,64.6,57.0,"$5,540",6.11x6.23x3.99 mm
1.02,Very Good,G,VVS1,64.2,61.0,"$4,610",6.24x6.34x4.04 mm
1.50,Very Good,I,SI2,63.8,58.0,"$4,880",7.09x7.18x4.55 mm
1.51,Very Good,J,VVS1,64.4,54.0,"$5,490",7.11x7.15x4.59 mm
1.50,Very Good,F,SI2,63.4,60.0,"$6,110",7.16x7.2x4.55 mm
1.54,Very Good,K,VVS2,64.3,59.0,"$4,610",7.13x7.23x4.62 mm
1.00,Very Good,G,VVS2,63.8,59.0,"$4,040",6.21x6.24x3.97 mm
1.51,Very Good,K,VS1,63.6,59.0,"$4,370",7.09x7.2x4.54 mm
1.51,Very Good,K,VVS2,62.1,65.0,"$4,730",7.23x7.33x4.52 mm
2.02,Very Good,K,IF,64.5,57.0,"$9,620",7.78x7.9x5.06 mm
1.00,Very Good,E,VS1,63.2,58.0,"$4,530",6.21x6.31x3.96 mm
