carat,cut,color,clarity,depth,table,price,measurements
1.01,Very Good,E,SI2,58.2,60.0,"$6,790",6.6x6.58x3.84 mm
1.01,Very Good,E,SI1,59.9,59.0,"$4,590",6.45x6.52x3.89 mm
1.08,Excellent,G,VS2,59.9,59.0,"$7,260",6.67x6.68x4 mm
1.40,Excellent,K,VS1,63.5,56.0,"$4,710",7.06x7.09x4.49 mm
0.94,Excellent,G,VVS1,63.1,57.0,"$4,660",6.22x6.26x3.94 mm
1.50,Excellent,I,SI1,63.4,55.0,"$8,510",7.21x7.26x4.58 mm
1.12,Excellent,D,SI1,60.8,57.0,"$5,230",6.71x6.76x4.1 mm
1.05,Excellent,J,IF,60.7,59.0,"$7,110",6.6x6.63x4.02 mm
0.90,Very Good,D,VVS2,62.9,55.0,"$6,350",6.1x6.17x3.86 mm
1.01,Good,E,VS1,57.8,67.0,"$6,080",6.48x6.58x3.77 mm
1.00,Good,F,VVS2,64.9,63.0,"$5,060",6.06x6.17x3.97 mm
1.59,Very Good,K,SI2,63.1,59.0,"$4,130",7.31x7.38x4.64 mm
1.09,Excellent,J,VVS1,62.6,57.0,"$4,130",6.57x6.61x4.13 mm
0.90,Excellent,G,IF,60.9,61.0,"$6,050",6.2x6.24x3.79 mm
1.09,Very Good,G,VS2,61.0,60.0,"$5,700",6.65x6.7x4.07 mm
0.82,Very Good,E,VS1,58.4,61.0,"$4,200",6.16x6.11x3.59 mm
0.90,Excellent,E,SI2,62.6,57.0,"$4,190",6.16x6.14x3.85 mm
0.77,Excellent,H,VVS2,62.7,56.0,"$4,170",5.81x5.84x3.65 mm
0.75,Excellent,H,VVS1,62.8,58.0,"$4,160",5.76x5.8x3.63 mm
0.80,Excellent,H,VS1,62.6,57.0,"$4,060",5.92x5.93x3.71 mm
1.01,Very Good,D,VS1,58.6,65.0,"$7,030",6.55x6.6x3.85 mm
1.06,Excellent,H,VS1,61.3,59.0,"$4,880",6.59x6.57x4.03 mm
1.20,Excellent,H,SI2,63.0,56.0,"$5,140",6.73x6.78x4.26 mm
1.51,Excellent,E,SI2,62.4,57.0,"$9,530",7.3x7.32x4.56 mm
1.30,Excellent,J,VS2,62.9,56.0,"$8,280",6.98x6.93x4.38 mm
1.06,Excellent,I,VVS2,61.1,59.0,"$4,270",6.56x6.59x4.02 mm
1.14,Excellent,J,VVS1,61.2,59.0,"$4,190",6.73x6.75x4.13 mm
1.00,Very Good,E,VVS2,60.7,60.0,"$7,670",6.41x6.42x3.89 mm
1.01,Very Good,E,VVS2,62.1,62.0,"$8,370",6.33x6.42x3.96 mm
1.00,Good,D,VVS1,60.5,60.0,"$9,480",6.47x6.52x3.93 mm
1.02,Very Good,E,SI2,60.1,63.0,"$4,020",6.46x6.48x3.89 mm
1.00,Very Good,E,VVS1,61.0,64.0,"$9,040",6.41x6.45x3.92 mm
1.02,Very Good,G,VS1,59.0,60.0,"$5,160",6.61x6.72x3.93 mm
