carat,cut,color,clarity,depth,table,price,measurements
0.90,Excellent,D,VS1,63.5,56.0,"$4,790",6.08x6.15x3.88 mm
0.90,Good,D,VVS2,64.0,60.0,"$4,290",5.98x6.01x3.83 mm
1.14,Excellent,I,VS1,61.9,56.0,"$4,380",6.71x6.73x4.16 mm
1.30,Excellent,I,VS2,62.8,59.0,"$9,100",6.9x6.96x4.36 mm
1.02,Excellent,I,VVS2,62.5,56.0,"$4,490",6.43x6.49x4.04 mm
1.51,Excellent,I,VVS1,62.7,57.0,"$9,220",7.28x7.32x4.58 mm
1.00,Good,F,VVS1,64.0,61.0,"$7,060",6.21x6.23x3.98 mm
1.06,Excellent,H,VS1,60.9,59.0,"$6,960",6.53x6.56x3.99 mm
1.01,Excellent,D,SI1,59.9,59.0,"$6,540",6.51x6.54x3.91 mm
1.03,Excellent,D,SI1,61.3,57.0,"$6,660",6.48x6.51x3.98 mm
1.07,Excellent,H,VVS2,62.4,59.0,"$5,080",6.48x6.52x4.06 mm
1.00,Very Good,H,VVS1,63.8,56.0,"$4,150",6.32x6.38x4.05 mm
1.05,Excellent,H,VS1,62.4,58.0,"$5,210",6.49x6.51x4.06 mm
1.04,Excellent,H,VS1,59.1,62.0,"$5,170",6.61x6.63x3.91 mm
1.07,Excellent,G,VVS2,62.3,61.0,"$6,870",6.5x6.53x4.06 mm
1.61,Excellent,K,SI2,62.6,57.0,"$5,210",7.44x7.46x4.66 mm
1.22,Excellent,G,VVS1,61.0,59.0,"$9,000",6.84x6.88x4.18 mm
1.37,Excellent,H,VS1,61.7,59.0,"$7,182",7.07x7.11x4.37 mm
1.14,Excellent,H,VS1,60.9,57.0,"$5,930",6.72x6.76x4.11 mm
1.00,Good,E,VVS1,64.0,59.0,"$8,020",6.19x6.23x3.97 mm
1.00,Very Good,H,VVS1,62.4,58.0,"$4,150",6.36x6.38x3.97 mm
1.01,Good,E,VS1,64.0,60.0,"$6,200",6.27x6.31x4.02 mm
1.00,Very Good,G,VVS2,59.9,64.0,"$4,760",6.39x6.44x3.84 mm
1.01,Excellent,G,VS1,59.1,59.0,"$9,030",6.53x6.56x3.87 mm
1.00,Excellent,G,VVS1,60.8,60.0,"$6,390",6.45x6.49x3.94 mm
1.70,Excellent,J,VVS2,63.5,56.0,"$8,597",7.54x7.61x4.81 mm
1.17,Excellent,I,VVS1,60.7,59.0,"$6,710",6.83x6.87x4.16 mm
1.50,Excellent,I,SI1,63.5,57.0,"$8,160",7.19x7.31x4.6 mm
0.90,Excellent,E,VVS2,62.6,56.0,"$5,340",6.14x6.17x3.85 mm
1.04,Excellent,H,VS2,62.6,58.0,"$4,320",6.44x6.48x4.05 mm
0.90,Excellent,F,VVS2,62.6,57.0,"$5,040",6.16x6.17x3.86 mm
1.00,Excellent,H,VVS2,62.8,56.0,"$4,980",6.35x6.38x4 mm
1.08,Excellent,H,VVS2,62.1,59.0,"$5,200",6.53x6.56x4.06 mm
1.00,Excellent,H,VVS2,63.6,56.0,"$4,590",6.27x6.37x4.02 mm
1.70,Excellent,I,SI2,61.9,58.0,"$9,500",7.56x7.62x4.7 mm
1.29,Excellent,G,VS2,61.5,59.0,"$6,502",6.95x7x4.29 mm
1.70,Excellent,J,SI2,62.7,56.0,"$8,160",7.58x7.64x4.77 mm
1.40,Excellent,I,VVS2,62.0,58.0,"$6,570",7.12x7.17x4.43 mm
1.00,Very Good,G,VS1,60.2,61.0,"$4,510",6.41x6.43x3.86 mm
1.00,Excellent,G,VVS1,62.1,59.0,"$5,800",6.32x6.35x3.93 mm
1.50,Excellent,J,SI1,60.0,60.0,"$7,050",7.4x7.43x4.45 mm
1.50,Excellent,I,SI2,62.6,58.0,"$7,730",7.29x7.33x4.58 mm
1.50,Excellent,J,SI1,62.0,56.0,"$7,780",7.35x7.39x4.57 mm
1.00,Very Good,H,VVS1,63.1,60.0,"$4,150",6.28x6.3x3.97 mm
1.30,Excellent,I,VS2,62.8,58.0,"$5,584",6.91x6.94x4.35 mm
0.90,Very Good,D,VS1,62.8,59.0,"$4,150",6.06x6.11x3.83 mm
1.52,Excellent,K,VS2,61.9,59.0,"$5,420",7.33x7.36x4.55 mm
1.50,Excellent,J,VVS2,62.1,59.0,"$7,770",7.26x7.32x4.52 mm
0.85,Excellent,F,IF,60.1,60.0,"$5,600",6.17x6.2x3.72 mm
1.52,Very Good,I,SI2,64.1,56.0,"$5,750",7.17x7.25x4.62 mm
1.50,Very Good,H,VS2,64.8,57.0,"$9,050",7.04x7.13x4.59 mm
1.00,Good,D,VS1,63.1,60.0,"$6,730",6.23x6.26x3.94 mm
1.80,Excellent,K,VS2,59.1,61.0,"$7,410",7.9x7.93x4.68 mm
0.77,Excellent,F,IF,58.4,59.0,"$4,882",6.04x6.06x3.54 mm
2.01,Very Good,I,SI1,64.8,55.0,"$8,760",7.79x7.89x5.08 mm
1.07,Excellent,F,SI1,60.2,61.0,"$5,310",6.62x6.64x3.99 mm
0.90,Excellent,E,SI1,60.8,59.0,"$5,040",6.19x6.23x3.77 mm
1.00,Excellent,D,SI1,61.9,58.0,"$4,380",6.36x6.41x3.95 mm
1.50,Excellent,K,SI2,62.2,59.0,"$4,830",7.29x7.35x4.55 mm
2.03,Very Good,K,VVS2,64.7,56.0,"$9,104",7.82x7.87x5.07 mm
1.01,Very Good,H,SI1,59.3,60.0,"$4,960",6.5x6.53x3.87 mm
1.01,Very Good,I,SI2,60.4,60.0,"$4,320",6.41x6.45x3.88 mm
1.06,Excellent,E,VS1,61.9,56.0,"$8,620",6.5x6.54x4.04 mm
0.92,Very Good,H,VS2,62.1,63.0,"$4,350",6.2x6.24x3.86 mm
1.01,Very Good,D,VS2,58.5,63.0,"$8,110",6.48x6.54x3.8 mm
1.04,Excellent,E,VS1,59.8,60.0,"$7,660",6.57x6.63x3.94 mm
1.50,Good,I,SI2,64.6,60.0,"$6,330",7.11x7.13x4.6 mm
1.26,Excellent,F,SI2,61.7,56.0,"$7,700",6.91x6.97x4.28 mm
1.01,Excellent,D,SI1,60.3,60.0,"$7,150",6.46x6.5x3.91 mm
1.20,Excellent,H,VS1,60.8,60.0,"$9,490",6.85x6.88x4.18 mm
1.73,Excellent,J,SI2,61.4,59.0,"$8,720",7.72x7.75x4.75 mm
1.01,Very Good,E,SI2,63.2,60.0,"$4,620",6.29x6.34x3.99 mm
0.90,Excellent,D,VVS1,59.5,61.0,"$9,420",6.31x6.35x3.77 mm
0.90,Excellent,G,VS2,62.6,56.0,"$4,280",6.13x6.17x3.85 mm
1.01,Excellent,E,VS1,60.1,60.0,"$8,230",6.5x6.56x3.92 mm
1.00,Very Good,G,VS1,63.7,59.0,"$4,510",6.27x6.3x4 mm
1.69,Very Good,I,VVS2,59.8,61.0,"$9,970",7.71x7.84x4.65 mm
1.00,Excellent,D,SI1,62.3,59.0,"$4,288",6.37x6.42x3.98 mm
1.51,Very Good,I,SI2,63.9,59.0,"$6,520",7.18x7.21x4.6 mm
1.00,Excellent,H,VS1,63.6,56.0,"$4,120",6.3x6.35x4.03 mm
1.22,Excellent,I,VS1,62.5,57.0,"$5,060",6.79x6.81x4.25 mm
1.50,Very Good,H,SI1,60.2,58.0,"$7,117",7.36x7.42x4.45 mm
1.40,Excellent,J,VVS1,59.5,60.0,"$8,900",7.21x7.27x4.3 mm
1.00,Good,I,SI1,62.7,62.0,"$4,520",6.23x6.38x3.95 mm
1.20,Excellent,F,SI1,62.8,58.0,"$5,560",6.73x6.77x4.24 mm
1.50,Excellent,K,VVS1,62.5,58.0,"$5,700",7.28x7.3x4.55 mm
1.42,Excellent,I,SI1,63.2,55.0,"$5,640",7.09x7.14x4.5 mm
1.00,Excellent,I,VVS1,63.2,56.0,"$4,150",6.32x6.37x4.01 mm
1.21,Excellent,H,IF,58.6,60.0,"$6,940",7.02x7.05x4.12 mm
1.00,Good,E,SI1,62.4,60.0,"$5,380",6.36x6.45x3.99 mm
1.02,Very Good,D,VS2,63.6,58.0,"$5,720",6.29x6.32x4.01 mm
0.76,Excellent,F,VVS1,57.8,60.0,"$4,136",6.01x6.06x3.49 mm
1.52,Excellent,J,VS2,61.8,59.0,"$8,672",7.36x7.4x4.56 mm
1.50,Excellent,J,VS2,61.7,60.0,"$8,370",7.29x7.35x4.52 mm
0.91,Excellent,E,VVS1,59.4,60.0,"$8,850",6.31x6.33x3.75 mm
1.08,Excellent,H,VVS2,61.5,59.0,"$5,130",6.56x6.61x4.05 mm
1.01,Excellent,G,VS1,60.1,59.0,"$5,340",6.49x6.53x3.91 mm
1.11,Excellent,F,VVS2,60.4,59.0,"$8,610",6.71x6.76x4.07 mm
1.50,Very Good,I,SI2,63.1,56.0,"$6,390",7.19x7.23x4.56 mm
0.82,Excellent,F,VVS1,60.0,55.0,"$6,100",6.1x6.14x3.68 mm
1.51,Excellent,J,VVS2,62.4,58.0,"$7,090",7.3x7.32x4.56 mm
1.02,Excellent,H,VS2,59.9,60.0,"$7,470",6.52x6.54x3.91 mm
1.01,Excellent,G,VS2,60.0,60.0,"$7,920",6.47x6.51x3.89 mm
1.36,Excellent,I,IF,58.5,60.0,"$8,410",7.3x7.33x4.28 mm
1.36,Excellent,H,IF,61.0,55.0,"$9,250",7.17x7.2x4.38 mm
1.20,Excellent,H,VS1,62.1,61.0,"$5,580",6.73x6.77x4.19 mm
1.13,Excellent,H,SI1,62.6,56.0,"$4,170",6.64x6.67x4.17 mm
