carat,color,clarity,cut,table,depth,measurements,price
0.54,G,SI2,Excellent,58 %,62.2 %,5.2x5.22x3.24,$989
0.52,F,SI1,Excellent,57 %,62.1 %,5.13x5.15x3.19,"$1,111"
0.5,E,SI1,Excellent,60 %,60.8 %,5.09x5.13x3.11,"$1,197"
0.5,E,SI1,Excellent,61 %,60.7 %,5.13x5.15x3.12,"$1,225"
0.5,H,VS2,Excellent,57 %,63.3 %,5.03x5.06x3.19,"$1,155"
0.5,H,VS2,Excellent,56 %,62.5 %,5.06x5.08x3.17,"$1,020"
0.5,H,VS2,Excellent,58 %,60.3 %,5.15x5.17x3.11,"$1,132"
0.5,G,VS2,Excellent,57 %,61.5 %,5.08x5.09x3.13,"$1,383"
0.61,F,VS2,Excellent,57 %,62.3 %,5.42x5.45x3.39,"$1,893"
0.5,D,VS2,Excellent,56 %,62.7 %,5.06x5.1x3.18,"$1,540"
0.6,G,VVS2,Excellent,60 %,59.3 %,5.5x5.52x3.27,"$1,439"
0.56,F,VVS2,Excellent,56 %,62.2 %,5.26x5.28x3.28,"$1,261"
0.54,E,VVS2,Excellent,56 %,61.9 %,5.24x5.27x3.25,"$1,974"
0.6,D,VVS2,Excellent,58 %,60.4 %,5.45x5.46x3.29,"$2,514"
0.54,D,VVS2,Excellent,58 %,62.3 %,5.18x5.21x3.24,"$1,682"
0.5,I,VVS1,Excellent,56 %,62.8 %,5.05x5.09x3.18,"$1,103"
0.5,G,VVS1,Excellent,58 %,61.8 %,5.08x5.11x3.14,"$1,594"
0.63,E,VVS1,Excellent,56 %,62.4 %,5.46x5.47x3.41,"$3,178"
0.61,E,VVS1,Excellent,58 %,61.8 %,5.44x5.46x3.37,"$3,194"
0.62,D,VVS1,Excellent,58 %,62.3 %,5.44x5.45x3.39,"$4,244"
0.62,D,VVS1,Excellent,58 %,62.0 %,5.43x5.45x3.37,"$3,855"
0.56,D,VVS1,Excellent,57 %,62.3 %,5.24x5.26x3.27,"$3,063"
0.54,D,VVS1,Excellent,58 %,62.4 %,5.19x5.22x3.25,"$2,964"
0.6,E,FL/IF,Excellent,60 %,61.8 %,5.37x5.39x3.33,"$3,032"
0.56,D,FL/IF,Excellent,61 %,58.3 %,5.43x5.45x3.17,"$3,959"
0.54,D,FL/IF,Excellent,56 %,62.5 %,5.2x5.23x3.26,"$3,527"
0.7,D,SI2,Excellent,57 %,62.2 %,5.67x5.68x3.53,"$1,992"
0.7,G,VS2,Excellent,57 %,62.8 %,5.66x5.7x3.57,"$2,192"
0.72,G,VS1,Excellent,57 %,62.6 %,5.7x5.73x3.58,"$2,609"
0.9,G,SI2,Excellent,59 %,60.7 %,6.21x6.24x3.78,"$2,684"
0.9,F,SI2,Excellent,58 %,62.4 %,6.12x6.16x3.83,"$2,448"
